Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-0.000126911,-8.35294e-05,-3.82008e-05,0.00341097,0.0252409,0.0403714,90
-0.000104634,-7.04219e-05,-2.60547e-05,0.0026552,0.0245859,0.040578,91
-8.55368e-05,-4.94399e-05,-1.76404e-05,0.00193472,0.0238783,0.0408012,92
-5.10211e-05,-4.50326e-05,-5.67026e-06,0.00125218,0.0231207,0.0410401,93
-3.66048e-05,-3.40588e-05,-2.51377e-06,0.00061009,0.0223158,0.041294,94
-2.28656e-05,-2.29909e-05,6.61659e-07,1.081e-05,0.0214663,0.041562,95
-1.0529e-05,-1.21561e-05,2.93098e-07,-0.000543449,0.0205754,0.0418432,96
-1.54307e-06,-1.82224e-06,1.01213e-06,-0.00105066,0.019646,0.0421365,97
-3.9489e-05,-0.000143431,-0.000279448,0.0113121,0.0280888,0.0384697,98
-7.69998e-05,-0.000145486,-0.000258936,0.0103802,0.0279893,0.0385011,99
-0.00010961,-0.00013971,-0.000240128,0.00945505,0.0278239,0.0385532,100
-0.000135759,-0.000134045,-0.000210283,0.0085401,0.0275932,0.0386261,101
-0.000166026,-0.000126559,-0.00019396,0.00763867,0.0272981,0.0387194,102
-0.000178431,-0.000118649,-0.000160063,0.00675403,0.0269394,0.0388327,103
-0.000174758,-0.000108832,-0.000139315,0.00588942,0.0265185,0.0389655,104
-0.000155865,-9.51605e-05,-9.83259e-05,0.00504798,0.0260369,0.0391175,105
-0.000134898,-8.14415e-05,-5.73666e-05,0.00423278,0.0254962,0.0392883,106
-0.000112331,-7.25299e-05,-3.5043e-05,0.0034468,0.0248983,0.0394772,107
-9.15511e-05,-6.3751e-05,-2.28975e-05,0.00269289,0.0242453,0.0396837,108
-7.48282e-05,-4.72749e-05,-1.32542e-05,0.00197381,0.0235394,0.0399069,109
-4.48466e-05,-3.95298e-05,-4.41937e-06,0.00129217,0.0227829,0.040146,110
-3.13551e-05,-2.97478e-05,-2.37868e-06,0.000650465,0.0219783,0.0404006,111
-1.74095e-05,-1.89459e-05,1.14499e-06,5.10301e-05,0.0211281,0.0406699,112
-9.73003e-06,-1.23046e-05,4.89125e-07,-0.000503951,0.0202351,0.0409531,113
-2.65382e-06,-3.20156e-06,1.08555e-06,-0.00101246,0.0193016,0.0412497,114
-3.87888e-05,-0.000136097,-0.000253388,0.0113212,0.0276876,0.0375978,115
-7.83914e-05,-0.000125963,-0.000246683,0.0103983,0.0275894,0.0376288,116
-0.000108703,-0.000125404,-0.000219187,0.00948197,0.0274262,0.0376804,117
-0.000127941,-0.000112234,-0.00019387,0.00857554,0.0271985,0.0377525,118
-0.000144183,-0.000107346,-0.000174649,0.00768223,0.0269071,0.0378449,119
-0.000153713,-9.53358e-05,-0.000143462,0.00680524,0.026553,0.0379572,120
-0.000150862,-9.39482e-05,-0.000120212,0.00594769,0.0261372,0.038089,121
-0.000136522,-9.06386e-05,-8.90779e-05,0.00511267,0.025661,0.0382398,122
-0.000117926,-7.33101e-05,-5.08693e-05,0.00430315,0.0251262,0.0384094,123
-9.77524e-05,-6.4036e-05,-3.08815e-05,0.00352202,0.0245344,0.0385972,124
-8.00231e-05,-4.76805e-05,-2.12477e-05,0.00277208,0.0238874,0.0388027,125
-5.50663e-05,-4.21115e-05,-7.31147e-06,0.00205601,0.0231873,0.0390255,126
-3.65376e-05,-3.36094e-05,-3.49156e-06,0.00137636,0.022436,0.0392648,127
-2.66925e-05,-2.57767e-05,-3.18476e-06,0.000735571,0.0216357,0.0395201,128
-1.3755e-05,-1.55717e-05,1.68147e-07,0.000135929,0.0207885,0.039791,129
-6.57578e-06,-8.24885e-06,-1.70882e-07,-0.000420431,0.0198963,0.0400774,130
-1.80139e-06,-2.66217e-06,3.28512e-08,-0.00093151,0.018961,0.0403791,131
-4.48456e-05,-0.000111296,-0.000224993,0.0113345,0.0272431,0.0367473,132
-7.69145e-05,-0.000110472,-0.00022376,0.0104247,0.0271469,0.0367778,133
