Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-0.000128885,-8.24563e-05,-0.000112926,0.00687994,0.0261307,0.0371015,137
-0.000121485,-8.41105e-05,-9.20369e-05,0.00603278,0.0257227,0.0372318,138
-0.000120733,-7.39703e-05,-7.80917e-05,0.00520719,0.0252552,0.0373811,139
-0.00010206,-6.80196e-05,-4.25901e-05,0.00440605,0.0247296,0.0375491,140
-8.64344e-05,-5.28098e-05,-2.63413e-05,0.00363214,0.0241473,0.0377354,141
-7.08146e-05,-3.20931e-05,-1.82559e-05,0.00288815,0.02351,0.0379397,142
-4.28179e-05,-3.76555e-05,-2.47804e-06,0.00217666,0.0228195,0.0381617,143
-3.54763e-05,-3.01218e-05,-4.90038e-06,0.00150014,0.0220773,0.038401,144
-2.21321e-05,-2.03441e-05,-2.23236e-06,0.000860938,0.0212853,0.0386574,145
-1.24492e-05,-1.40631e-05,2.80691e-07,0.000261275,0.020445,0.038931,146
-7.09107e-06,-8.04446e-06,1.59797e-07,-0.00029676,0.0195579,0.039222,147
-1.68357e-06,-1.59248e-06,9.78815e-07,-0.000811241,0.0186248,0.0395311,148
-3.08735e-05,-8.54758e-05,-0.000195214,0.0113215,0.0267542,0.0359209,149
-4.69705e-05,-7.47634e-05,-0.000176515,0.0103988,0.0266542,0.0359529,150
-7.60694e-05,-8.62144e-05,-0.000162203,0.00948271,0.026488,0.0360062,151
-9.03355e-05,-7.0725e-05,-0.000138033,0.00857652,0.0262561,0.0360807,152
-0.000104289,-6.59101e-05,-0.00010939,0.00768343,0.0259591,0.0361764,153
-0.000107561,-6.40426e-05,-9.13663e-05,0.00680665,0.025598,0.0362928,154
-0.000101204,-6.73151e-05,-6.76297e-05,0.00594931,0.0251736,0.0364298,155
-9.61553e-05,-6.13895e-05,-5.18672e-05,0.00511446,0.024687,0.0365868,156
-8.35747e-05,-5.2457e-05,-3.45226e-05,0.0043051,0.0241397,0.0367638,157
-6.69294e-05,-3.57448e-05,-2.10688e-05,0.00352411,0.0235332,0.0369607,158
-4.55945e-05,-2.76661e-05,-5.74667e-06,0.00277428,0.022869,0.0371772,159
-3.2036e-05,-2.44275e-05,-1.76822e-06,0.00205829,0.0221485,0.0374133,160
-2.20095e-05,-2.13077e-05,-5.70397e-06,0.0013787,0.0213733,0.0376688,161
-1.42054e-05,-1.19529e-05,-7.66993e-07,0.000737937,0.0205445,0.0379439,162
-5.61042e-06,-6.04345e-06,6.61072e-07,0.000138291,0.0196633,0.0382393,163
-2.51735e-05,-5.93071e-05,-0.000161715,0.0113316,0.0262259,0.0351198,164
-3.45109e-05,-4.87914e-05,-0.000144591,0.0104189,0.0261269,0.0351519,165
-5.50917e-05,-5.91786e-05,-0.000126536,0.00951257,0.0259623,0.0352053,166
-7.62615e-05,-5.10239e-05,-0.00011349,0.00861582,0.0257325,0.0352801,167
-7.95733e-05,-4.59702e-05,-8.22876e-05,0.00773177,0.0254382,0.0353761,168
